step,predator_0,prey_0
1,10,20
2,10,20
3,10,20
4,10,20
5,10,20
6,10,20
7,10,20
8,10,20
9,10,20
10,10,20
11,10,18
12,10,16
13,10,16
14,10,15
15,10,15
16,10,15
17,10,15
18,10,15
19,10,15
20,10,15
21,10,15
22,10,15
23,10,15
24,10,15
25,10,15
26,10,15
27,10,15
28,10,15
29,10,15
30,10,15
31,10,15
32,10,15
33,10,15
34,10,15
35,10,15
36,10,15
37,10,15
38,10,15
39,10,15
40,10,15
41,10,15
42,10,15
43,10,15
44,10,15
45,10,15
46,10,15
47,10,15
48,10,15
49,10,15
50,10,15
51,10,14
52,10,14
53,10,14
54,10,14
55,10,14
56,10,14
57,10,14
58,10,14
59,10,14
60,10,14
61,10,14
62,10,14
63,10,14
64,10,14
65,10,14
66,10,14
67,10,14
68,10,14
69,10,14
70,10,14
71,10,14
72,10,14
73,10,14
74,10,14
75,10,14
76,10,14
77,10,14
78,10,14
79,10,14
80,10,14
81,10,13
82,10,13
83,10,13
84,10,13
85,10,13
86,10,12
87,10,12
88,10,12
89,10,12
90,10,12
91,10,12
92,10,12
93,10,12
94,10,12
95,10,12
96,10,12
97,10,12
98,10,12
99,10,12
101,10,12
102,10,12
103,10,12
104,10,12
105,10,12
106,10,12
107,10,12
108,10,12
109,10,12
110,10,11
111,10,11
112,10,11
113,10,11
114,10,11
115,10,11
116,10,11
117,10,11
118,10,11
119,10,11
120,10,11
121,10,11
122,10,10
123,10,10
124,10,10
125,10,10
126,10,10
127,10,10
128,10,9
129,10,9
130,10,9
131,10,9
132,10,9
133,10,9
134,10,9
135,10,9
136,10,9
137,10,9
138,10,9
139,10,9
140,10,9
141,10,9
142,10,9
143,10,9
144,10,9
145,10,9
146,10,9
147,10,9
148,10,9
149,10,9
150,10,9
151,10,9
152,10,9
153,10,9
154,10,9
155,10,9
156,10,9
157,10,9
158,10,9
159,10,9
160,10,9
161,10,9
162,10,9
163,10,9
164,10,9
165,10,9
166,10,9
167,10,9
168,10,9
169,10,9
170,10,9
171,10,9
172,10,9
173,10,9
174,10,9
175,10,9
176,10,9
177,10,9
178,10,9
179,10,9
180,10,9
181,10,9
182,10,9
183,10,9
184,10,9
185,10,9
186,10,9
187,10,9
188,10,9
189,10,9
190,10,9
191,10,9
192,10,9
193,10,9
194,10,9
195,10,9
196,10,9
197,10,9
198,10,8
199,10,8
201,10,8
202,10,8
203,10,8
204,10,8
205,10,8
206,10,8
207,10,8
208,10,8
209,10,8
210,10,8
211,10,8
212,10,7
213,10,7
214,10,7
215,10,7
216,10,6
217,10,6
218,10,5
219,10,5
220,10,5
221,10,4
222,10,4
223,10,4
224,10,4
225,10,4
226,10,4
227,10,2
228,10,2
229,10,2
230,10,2
231,10,2
232,10,2
233,10,2
234,10,2
235,10,2
236,10,2
237,10,2
238,10,2
239,10,2
240,10,2
241,10,2
242,10,2
243,10,2
244,10,2
245,10,2
246,10,2
247,10,2
248,10,2
249,10,2
250,10,2
251,10,2
252,10,1
253,10,1
254,10,1
255,10,1
256,10,1
257,10,1
258,10,1
259,10,1
260,10,1
261,10,1
262,10,1
263,10,1
264,10,1
265,10,1
266,10,1
267,10,1
268,10,1
269,10,1
270,10,1
271,10,1
272,10,1
273,10,1
274,10,1
275,10,1
276,10,1
277,10,1
278,10,1
279,10,1
280,10,1
281,10,1
282,10,1
283,10,1
284,10,1
285,10,1
286,10,1
287,10,1
288,10,1
289,10,1
290,10,1
291,10,1
292,10,1
293,10,1
294,10,1
295,10,1
296,10,1
297,10,1
298,10,1
299,10,1
301,10,1
302,10,1
303,10,1
304,10,1
305,10,1
306,10,1
307,10,1
308,10,1
309,10,1
310,10,1
311,10,1
312,10,1
313,10,1
314,10,1
315,10,1
316,10,1
317,10,1
318,10,1
319,10,0
