step,predator_0,prey_0
1,1,20
2,1,20
3,1,20
4,1,20
5,1,20
6,1,20
7,1,20
8,1,20
9,1,20
10,1,20
11,1,20
12,1,20
13,1,20
14,1,20
15,1,20
16,1,20
17,1,20
18,1,20
19,1,20
20,1,20
21,1,20
22,1,20
23,1,20
24,1,20
25,1,20
26,1,20
27,1,20
28,1,20
29,1,20
30,1,20
31,1,20
32,1,20
33,1,20
34,1,20
35,1,20
36,1,20
37,1,20
38,1,20
39,1,20
40,1,20
41,1,20
42,1,20
43,1,20
44,1,20
45,1,20
46,1,20
47,1,20
48,1,21
49,1,21
50,1,21
51,1,21
52,1,21
53,1,21
54,1,21
55,1,21
56,1,21
57,1,21
58,1,21
59,1,21
60,1,21
61,1,21
62,1,21
63,1,21
64,1,21
65,1,21
66,1,21
67,1,21
68,1,21
69,1,22
70,1,22
71,1,23
72,1,23
73,1,23
74,1,23
75,1,23
76,1,23
77,1,23
78,1,23
79,1,23
80,1,23
81,1,23
82,1,23
83,1,23
84,1,23
85,1,23
86,1,23
87,1,23
88,1,23
89,1,23
90,1,23
91,1,23
92,1,23
93,1,23
94,1,23
95,1,23
96,1,23
97,1,23
98,1,23
99,1,23
101,1,23
102,1,23
103,1,23
104,1,23
105,1,23
106,1,23
107,1,23
108,1,23
109,1,23
110,1,23
111,1,23
112,1,23
113,1,23
114,1,23
115,1,23
116,1,23
117,1,23
118,1,23
119,1,23
120,1,23
121,1,23
122,1,23
123,1,23
124,1,23
125,1,23
126,1,24
127,1,24
128,1,24
129,1,24
130,1,24
131,1,24
132,1,24
133,1,24
134,1,24
135,1,24
136,1,26
137,1,26
138,1,26
139,1,26
140,1,26
141,1,26
142,1,26
143,1,26
144,1,26
145,1,26
146,1,26
147,1,27
148,1,27
149,1,27
150,1,27
151,1,27
152,1,27
153,1,27
154,1,27
155,1,27
156,1,27
157,1,27
158,1,27
159,1,27
160,1,27
161,1,27
162,1,27
163,1,27
164,1,27
165,1,27
166,1,26
167,1,26
168,1,26
169,1,26
170,1,26
171,1,26
172,1,26
173,1,26
174,1,26
175,1,26
176,1,26
177,1,26
178,1,26
179,1,26
180,1,26
181,1,26
182,1,26
183,1,26
184,1,26
185,1,26
186,1,26
187,1,26
188,1,26
189,1,26
190,1,26
191,1,26
192,1,26
193,1,26
194,1,26
195,1,26
196,1,26
197,1,26
198,1,26
199,1,26
201,1,26
202,1,26
203,1,26
204,1,26
205,1,26
206,1,26
207,1,26
208,1,26
209,1,26
210,1,26
211,1,26
212,1,26
213,1,26
214,1,26
215,1,26
216,1,26
217,1,26
218,1,26
219,1,26
220,1,26
221,1,26
222,1,26
223,1,26
224,1,26
225,1,26
226,1,26
227,1,26
228,1,26
229,1,26
230,1,26
231,1,26
232,1,26
233,1,26
234,1,26
235,1,26
236,1,26
237,1,26
238,1,26
239,1,26
240,1,26
241,1,26
242,1,26
243,1,26
244,1,26
245,1,26
246,1,26
247,1,26
248,1,26
249,1,26
250,1,26
251,1,26
252,1,26
253,1,26
254,1,26
255,1,26
256,1,26
257,1,26
258,1,26
259,1,26
260,1,26
261,1,26
262,1,26
263,1,26
